lemma,derivation,meaning,lsj_ulr,pos
δειπνοκλήτωρ,"['δεῖπνον', 'κλήτωρ']",- one who invites to dinner,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deipnoklh/twr,noun
εὐαστήρ,['εὐάζω'],- in,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)asth/r,noun
ὑπασπιστήρ,"['ὑπό', 'ἀσπίς']",- shield-bearing,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(paspisth/r,noun
ἀφήτωρ,"['ἀπό', 'ἵημι']",- archer; prophet,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)fh/twr,noun
φυλάκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fula/ktwr,noun
ἀβολήτωρ,['ἀβολέω'],- one who meets,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)bolh/twr,noun
Πολύκτωρ,[],,,noun
σαυρωτήρ,['σαύρα'],- ferrule; spike,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=saurwth/r,noun
συσφιγκτήρ,"['σύν', 'σφίγγω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=susfigkth/r,noun
μηλοβοτήρ,"['μῆλον', 'βόσκω']",- shepherd,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mhloboth/r,noun
γομφωτήρ,['γομφόω'],"- a ship-builder
- surgical instrument for excising bone",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gomfwth/r,noun
ἐκπορθήτωρ,"['ἐκ', 'πορθέω']","- waster, destroyer",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)kporqh/twr,noun
ὀψωνάτωρ,[],- caterer; obsonator,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)ywna/twr,noun
σημάντωρ,['σημαίνω'],"- one who gives a signal, leader, commander; driver; herdsman",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=shma/ntwr,noun
καυστήρ,['καίω'],- cauterizing apparatus,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kausth/r,noun
μασητήρ,['μασάομαι'],- chewer; chewing,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mashth/r,noun
δησέρτωρ,[],,,
μνηστήρ,['μνάομαι'],"- wooer, suitor",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mnhsth/r,noun
σκουβίτωρ,[],,,
μεγαλογάστωρ,"['μέγας', 'γαστήρ']",- big-bellied,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=megaloga/stwr,noun
δραστήρ,['δράω'],- cook,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=drasth/r,noun
ὀλβιογάστωρ,"['ὄλβιος', 'γαστήρ']","- whose happiness is in his belly, a belly-god",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)lbioga/stwr,noun
κινητήρ,['κινέω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kinhth/r,noun
ἀχυροπράκτωρ,"['ἄχυρον', 'πράκτωρ']",- collector of chaff; of the tax thereon),https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)xuropra/ktwr,noun
μοδεράτωρ,[],,,
διαδέκτωρ,"['διά', 'δέχομαι']",- inheritor,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diade/ktwr,noun
Ἱπποκράτωρ,[],,,noun
ποτήρ,['πίνω'],- drinking-cup,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poth/r,noun
κομιστήρ,['κομίζω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=komisth/r,noun
ὁμομήτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(momh/twr,noun
ταμιεύτωρ,['ταμιεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tamieu/twr,noun
γενετήρ,[],- parents,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=geneth/r,noun
ἐξυμενιστήρ,"['ἐξ', 'ὐμενίζω']",- flaying; dissecting knife,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)cumenisth/r,noun
ὀϊστευτήρ,['ὀϊστεύω'],,,noun
ἐπιδέκτωρ,"['ἐπί', 'δέχομαι']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pide/ktwr,noun
λῃστήρ,['λῃστής'],- robber; pirate,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lh|sth/r,noun
Προτρυγητήρ,[],,,noun
Δημήτηρ,[],- Aus Lydien; Griechische Dialekte; Demeter; h.Cer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*dhmh/thr,noun
βασκαντήρ,[],,,
ἐκσκουβίτωρ,[],,,
προγενήτωρ,[],,,
Ἀκέστωρ,[],,,noun
σαγηνευτήρ,['σαγηνεύω'],- one who fishes with the,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=saghneuth/r,noun
πιστήρ,['πιπίσκω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pisth/r,noun
εὐρυγάστωρ,"['εὐρύς', 'γαστήρ']",- big-bellied,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)ruga/stwr,noun
κυνηγητήρ,"['κύων', 'ἄγω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kunhghth/r,noun
συνθοινάτωρ,"['σύν', 'θοίνη']",- partaker in a feast,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sunqoina/twr,noun
Δμήτωρ,[],,,noun
ἀπειλητήρ,"['ἀπό', 'εἰλέω']","- threatener, boaster",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)peilhth/r,noun
ἑστιάτωρ,['ἑστιάω'],"- one who gives a banquet, host
- guest
- office-bearers of a religious association",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(stia/twr,noun
ὑποχυτήρ,"['ὑπό', 'χέω']",- vessel to pour,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(poxuth/r,noun
ἀποπαύστωρ,"['ἀπό', 'παύω']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)popau/stwr,noun
ἀμύντωρ,['ἀμύνω'],"- defender, helper",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mu/ntwr,noun
ταράκτωρ,['ταράσσω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tara/ktwr,noun
τεχνήτωρ,['τεχνάομαι'],"- artificer, maker",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=texnh/twr,noun
δμητήρ,['δαμάζω'],- tamer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dmhth/r,noun
ἑρπυστήρ,['ἑρπύζω'],- a reptile,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(rpusth/r,noun
διασφακτήρ,"['διά', 'σφάζω']",- murderous,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diasfakth/r,noun
χωνευτήρ,['χωνεύω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xwneuth/r,noun
