lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
ἐνεπιδείκνυμαι,"ἐν, ἐπί, δείκνυμι",ἐνεπιδείκνυμαι,e)nepidei/knumai,enepideiknumai,"['ἐν', 'ἐπί', 'δείκνυμι']","['en', 'epi', 'deiknumi']","['ἐν', 'ἐπί']","['en', 'epi']",ενεπιδεικνυμαι / enepideiknumai
ἀργοθάνατος,"ἀργός, θάνατος",ἀργοθάνατος,a)rgoqa/natos,argoqanatos,"['ἀργός', 'θάνατος']","['argos', 'qanatos']",[],[],αργοθανατος / argoqanatos
δημοφανής,"δῆμος, φαίνω",δημοφανής,dhmofanh/s,dhmofanhs,"['δῆμος', 'φαίνω']","['dhmos', 'fainw']",[],[],δημοφανης / dhmofanhs
λογοποιΐα,"λόγος, ποιέω",λογοποιΐα,logopoii/+a,logopoiia,"['λόγος', 'ποιέω']","['logos', 'poiew']",[],[],λογοποιια / logopoiia
Ἄσιβα,,Ἄσιβα,*)/Asiba,Asiba,[],[],[],[],Ασιβα / Asiba
ἑπτακαιδεκέτης,,ἑπτακαιδεκέτης,e(ptakaideke/ths,eptakaidekeths,[],[],[],[],επτακαιδεκετης / eptakaidekeths
ἐκχοιριλόομαι,"ἐκ, Χοιρίλος",ἐκχοιριλόομαι,e)kxoirilo/omai,ekxoiriloomai,"['ἐκ', 'Χοιρίλος']","['ek', 'Xoirilos']",['ἐκ'],['ek'],εκχοιριλοομαι / ekxoiriloomai
ἑλξίνη,see ἕλκω?,ἑλξίνη,e(lci/nh,elcinh,[],[],[],[],ελξινη / elcinh
κόραξ,,κόραξ,ko/rac,korac,[],[],[],[],κοραξ / korac
ὑποτρόχαλος,"ὑπό, τροχαλός",ὑποτρόχαλος,u(potro/xalos,upotroxalos,"['ὑπό', 'τροχαλός']","['upo', 'troxalos']",['ὑπό'],['upo'],υποτροχαλος / upotroxalos
ὑποτοβέω,"ὑπό, ὀτοβέω",ὑποτοβέω,u(potobe/w,upotobew,"['ὑπό', 'ὀτοβέω']","['upo', 'otobew']",['ὑπό'],['upo'],υποτοβεω / upotobew
Ὠριγενιασταί,Ὠριγένης,Ὠριγενιασταί,*)Wrigeniastai/,Wrigeniastai,['Ὠριγένης'],['Wrigenhs'],[],[],Ωριγενιασται / Wrigeniastai
ἑσταότ-,,ἑσταότ,e(stao/t,estaot,[],[],[],[],εσταοτ / estaot
ὀλιγόπους,"ὀλίγος, πούς",ὀλιγόπους,o)ligo/pous,oligopous,"['ὀλίγος', 'πούς']","['oligos', 'pous']",[],[],ολιγοπους / oligopous
Κύναιθος,,Κύναιθος,*Ku/naiqos,Kunaiqos,[],[],[],[],Κυναιθος / Kunaiqos
ἀθροότης,ἀθρόος,ἀθροότης,a)qroo/ths,aqrooths,['ἀθρόος'],['aqroos'],[],[],αθροοτης / aqrooths
ἄφαντος,φαίνω,ἄφαντος,a)/fantos,afantos,['φαίνω'],['fainw'],[],[],αφαντος / afantos
διαδικασία,"διά, δικάζω",διαδικασία,diadikasi/a,diadikasia,"['διά', 'δικάζω']","['dia', 'dikazw']",['διά'],['dia'],διαδικασια / diadikasia
συναναθεματίζω,"σύν, ἀναθεματίζω",συναναθεματίζω,sunanaqemati/zw,sunanaqematizw,"['σύν', 'ἀναθεματίζω']","['sun', 'anaqematizw']",['σύν'],['sun'],συναναθεματιζω / sunanaqematizw
κρέμβαλα,"IE*(s)qr-; cf. Lat. crepō, Lith. skrebù",κρέμβαλα,kre/mbala,krembala,[],[],[],[],κρεμβαλα / krembala
κατακτάμεν,,κατακτάμεν,katakta/men,kataktamen,[],[],[],[],κατακταμεν / kataktamen
ὑπεροπτεία,ὑπερόπτης,ὑπεροπτεία,u(peroptei/a,uperopteia,['ὑπερόπτης'],['uperopths'],[],[],υπεροπτεια / uperopteia
ἰτρίνεος,ἴτριον,ἰτρίνεος,i)tri/neos,itrineos,['ἴτριον'],['itrion'],[],[],ιτρινεος / itrineos
μουσομανέω,"μοῦσα, μαίνομαι",μουσομανέω,mousomane/w,mousomanew,"['μοῦσα', 'μαίνομαι']","['mousa', 'mainomai']",[],[],μουσομανεω / mousomanew
προχράομαι,"πρό, χράομαι",προχράομαι,proxra/omai,proxraomai,"['πρό', 'χράομαι']","['pro', 'xraomai']",['πρό'],['pro'],προχραομαι / proxraomai
