lemma;derivation;meaning;lsj_ulr;pos;Clean
ἀπειλητήρ;['ἀπό', 'εἰλέω'];- threatener, boaster;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)peilhth/r;noun;yes
ἑστιάτωρ;['ἑστιάω'];"- one who gives a banquet, host
- guest
- office-bearers of a religious association";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(stia/twr;noun;yes
ὑποχυτήρ;['ὑπό', 'χέω'];- vessel to pour;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(poxuth/r;noun;yes
ἀποπαύστωρ;['ἀπό', 'παύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)popau/stwr;noun;yes
ἀμύντωρ;['ἀμύνω'];- defender, helper;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mu/ntwr;noun;yes
ταράκτωρ;['ταράσσω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tara/ktwr;noun;yes
τεχνήτωρ;['τεχνάομαι'];- artificer, maker;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=texnh/twr;noun;yes
δμητήρ;['δαμάζω'];- tamer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dmhth/r;noun;yes
ἑρπυστήρ;['ἑρπύζω'];- a reptile;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(rpusth/r;noun;yes
διασφακτήρ;['διά', 'σφάζω'];- murderous;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diasfakth/r;noun;yes
χωνευτήρ;['χωνεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xwneuth/r;noun;yes
κλητήρ;['καλέω'];"- summoner; witness who gave evidence that the legal summons had been served";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klhth/r;noun;yes
προμνήστωρ;['πρό', 'μνάομαι'];;;;yes
ἐπιρυτήρ;[];;;;yes
Νομήτωρ;[];;;noun;no
δωρητήρ;['δωρέω'];- giver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dwrhth/r;noun;yes
μονομάτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=monoma/twr;noun;no
παυστήρ;['παύω'];"- one who stops; relieves";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pausth/r;noun;yes
καλυπτήρ;['καλύπτω'];- covering, sheath;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kalupth/r;noun;yes
λείτωρ;[];- priest;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lei/twr;noun;yes
αἰχμητήρ;['αἰχμή'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)xmhth/r;noun;yes
κριντήρ;['κρίνω'];;;;yes
ἱεροπράκτωρ;['ἱερός', 'πράκτωρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(eropra/ktwr;;yes
σβεστήρ;[];- extinguisher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sbesth/r;noun;yes
ἀποδοτήρ;['ἀπό', 'δίδωμι'];;;;yes
φύτωρ;['φύω'];- father;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fu/twr;noun;yes
κρεμαστήρ;['κρεμάννυμι'];"- suspender; vasa deferentia; muscle suspending the ovaries";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kremasth/r;noun;yes
θαλασσοκράτωρ;['θάλασσα', 'κράτος'];- master of the sea;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qalassokra/twr;noun;yes
ψαλτήρ;['ψάλλω'];;;;yes
παγγενέτωρ;['πᾶς', 'γίγνομαι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paggene/twr;noun;yes
ὑπαφήτωρ;['ὑπό', 'ἀφήτωρ'];;;;yes
ἀνακρεμαστήρ;['ἀνά', 'κρεμάννυμι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nakremasth/r;noun;yes
ὑλιστήρ;['ὑλίζω'];- filter, colander;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(listh/r;noun;yes
Κάστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*ka/stwr;noun;no
ἕρκτωρ;['ἔρδω'];- a doer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(/rktwr;noun;yes
πλήκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plh/ktwr;;yes
Διογενέτωρ;['Ζεύς', 'γενέτωρ'];"- giving birth to Zeus; of Zeus";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*diogene/twr;noun;no
ἐλατήρ;['ἐλαύνω'];"- driver; charioteer
- one that drives away
- a broad, flat cake
- hoopstick";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)lath/r;noun;yes
ἐρευνητήρ;['ἐρευνάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)reunhth/r;noun;yes
χρυσοπάτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrusopa/twr;noun;no
ὀπωπητήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pwphth/r;noun;yes
φρυγανιστήρ;['φρυγανίζω'];- one who gathers firewood;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fruganisth/r;noun;yes
τοιχοδιφήτωρ;['τοῖχος', 'διφήτωρ'];- one who creeps through a hole in the wall;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=toixodifh/twr;noun;yes
βιοδώτωρ;['βίος', 'δίδωμι'];- furnishing a livelihood;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=biodw/twr;noun;yes
παιδολέτωρ;['παῖς', 'ὄλλυμι'];- child-murdering;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paidole/twr;noun;yes
ὀγάστωρ;[];;;;no
ἀμπαιστήρ;[];- door-knocker;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mpaisth/r;noun;yes
οἰνομήτωρ;['οἶνος', 'μήτηρ'];- mother of wine;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)nomh/twr;noun;no
προγεννήτωρ;['πρό', 'γεννάω'];- forefathers;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=progennh/twr;noun;yes
νιπτήρ;['νίζω'];- washing-vessel, basin;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nipth/r;noun;yes
πολυΐστωρ;['πολύς', 'ἵστωρ'];;;noun;yes
ὁμοπλωτήρ;['ὁμός', 'πλέω'];- one who sails in company;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(moplwth/r;noun;yes
